ACTIE,TYPE,TAFEL,DATUM,MEDEWERKER,DEBIT,CREDIT,AANTAL,BTW,BOEK,PRODUCT,TRANSACTIE,BESTELID,DAY,AFGEREKEND
item,toegevoegd,Tafel Counter 1,2025/02/01 11:26:36,Manager,12.00,,3,9,8010,Pasta filled 100gr,,Hn7pYs9wr4bPdArSGD3Mn4,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 11:26:36,Manager,3.50,,1,9,8010,slice FOCACCIA,,Hn7pYs9wr4bPdArSGD3Mn4,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 11:26:38,Manager,,15.50,,,,,PIN,Hn7pYs9wr4bPdArSGD3Mn4,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 11:34:11,Manager,21.00,,6,9,8010,slice FOCACCIA,,NMAzeAJfo55polpHanElPD,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 11:34:48,Manager,,21.00,,,,,PIN,NMAzeAJfo55polpHanElPD,01-02-2025,
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 12:01:54,Manager,3.50,,1,9,8010,Cappuccino/Latte Macchiato,,SHj8Gp45UpB7VVnPnDOyfZ,01-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 12:01:54,Manager,3.00,,1,9,8010,Juice/SAP,,SHj8Gp45UpB7VVnPnDOyfZ,01-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 12:01:54,Manager,6.00,,1,9,8010,Pasta Kid TOMATO,,SHj8Gp45UpB7VVnPnDOyfZ,01-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 12:01:54,Manager,6.00,,1,9,8010,Focaccia FILLED 6,,SHj8Gp45UpB7VVnPnDOyfZ,01-02-2025,verkoop
item,toegevoegd,Tafel Panca 1 Indoor,2025/02/01 12:01:54,Manager,1.00,,1,9,8010,pizza no price,,SHj8Gp45UpB7VVnPnDOyfZ,01-02-2025,verkoop
transactie,,Tafel Panca 1 Indoor,2025/02/01 12:32:47,Manager,,19.50,,,,,PIN,SHj8Gp45UpB7VVnPnDOyfZ,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 12:04:30,Manager,21.00,,3,9,8010,Torta 7,,CfTvb1vaQhrNa23XwCfv7c,01-02-2025,verkoop
transactie,,Tafel Counter 1,2025/02/01 12:05:06,Manager,,21.00,,,,,PIN,CfTvb1vaQhrNa23XwCfv7c,01-02-2025,
item,toegevoegd,Tafel Counter 1,2025/02/01 12:17:28,Manager,16.50,,1,9,8010,MEAT Food Second,,NsQclk87tLHRvcZ1t6ndFO,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 12:17:28,Manager,7.00,,1,9,8010,SUGO 300gr,,NsQclk87tLHRvcZ1t6ndFO,01-02-2025,verkoop
item,toegevoegd,Tafel Counter 1,2025/02/01 12:17:28,Manager,9.00,,2,9,8010,slice MARGHERITA,,NsQclk87tLHRvcZ1t6ndFO,01-02-2025,verkoop
